AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,
26/07/2014,5
27/07/2014,3
28/07/2014,3
29/07/2014,3
30/07/2014,4
31/07/2014,8
01/08/2014,4
02/08/2014,3
03/08/2014,3
04/08/2014,6
05/08/2014,3
06/08/2014,4
07/08/2014,4
08/08/2014,3
09/08/2014,3
10/08/2014,2
11/08/2014,3
12/08/2014,3
13/08/2014,3
14/08/2014,3
15/08/2014,2
16/08/2014,3
17/08/2014,3
18/08/2014,3
19/08/2014,3
20/08/2014,2
21/08/2014,3
22/08/2014,3
23/08/2014,3
24/08/2014,3
25/08/2014,3
26/08/2014,2
27/08/2014,3
28/08/2014,3
29/08/2014,3
30/08/2014,3
31/08/2014,3
01/09/2014,3
02/09/2014,3
03/09/2014,3
04/09/2014,3
05/09/2014,5
06/09/2014,6
07/09/2014,3
08/09/2014,3
09/09/2014,3
10/09/2014,3
11/09/2014,4
12/09/2014,4
13/09/2014,3
14/09/2014,3
15/09/2014,3
16/09/2014,5
17/09/2014,5
18/09/2014,6
19/09/2014,5
20/09/2014,3
21/09/2014,3
22/09/2014,5
23/09/2014,7
24/09/2014,3
25/09/2014,4
26/09/2014,3
27/09/2014,3
28/09/2014,3
29/09/2014,4
30/09/2014,4
01/10/2014,3
02/10/2014,3
03/10/2014,3
04/10/2014,2
05/10/2014,3
06/10/2014,3
07/10/2014,3
08/10/2014,3
09/10/2014,3
10/10/2014,3
11/10/2014,3
12/10/2014,2
13/10/2014,3
14/10/2014,3
15/10/2014,3
16/10/2014,4
17/10/2014,3
18/10/2014,3
19/10/2014,3
20/10/2014,3
21/10/2014,2
22/10/2014,3
23/10/2014,3
24/10/2014,3
25/10/2014,3
26/10/2014,3
27/10/2014,3
28/10/2014,3
29/10/2014,3
30/10/2014,4
31/10/2014,3
01/11/2014,3
02/11/2014,3
03/11/2014,3
04/11/2014,4
05/11/2014,3
06/11/2014,3
07/11/2014,3
08/11/2014,3
09/11/2014,3
10/11/2014,3
11/11/2014,3
12/11/2014,3
13/11/2014,3
14/11/2014,3
15/11/2014,3
16/11/2014,2
17/11/2014,3
18/11/2014,3
19/11/2014,4
20/11/2014,4
21/11/2014,4
22/11/2014,3
23/11/2014,2
24/11/2014,4
25/11/2014,3
26/11/2014,3
27/11/2014,3
28/11/2014,3
29/11/2014,4
30/11/2014,3
01/12/2014,3
02/12/2014,4
03/12/2014,3
04/12/2014,3
05/12/2014,3
06/12/2014,4
07/12/2014,3
08/12/2014,4
09/12/2014,4
10/12/2014,4
11/12/2014,4
12/12/2014,3
13/12/2014,4
14/12/2014,2
15/12/2014,4
16/12/2014,4
17/12/2014,4
18/12/2014,3
19/12/2014,3
20/12/2014,5
21/12/2014,3
22/12/2014,3
23/12/2014,3
24/12/2014,3
25/12/2014,3
26/12/2014,2
27/12/2014,2
28/12/2014,3
29/12/2014,3
30/12/2014,4
31/12/2014,3
01/01/2015,2
,
End of file ,
